年,品目,都道府県,作付面積（ha）,収穫量（t）,出荷量（t）
1985,い,岡山県,186,2150,1935
1986,い,岡山県,161,1820,1638
1987,い,岡山県,139,1530,1377
1988,い,岡山県,135,1460,1314
1989,い,岡山県,126,1380,1242
1990,い,岡山県,108,1040,936
1991,い,岡山県,57,491,441.9
1992,い,岡山県,47,503,452.7
1993,い,岡山県,47,503,452.7
1994,い,岡山県,NA,NA,NA
1995,い,岡山県,NA,NA,NA
1996,い,岡山県,NA,NA,NA
1997,い,岡山県,NA,NA,NA
1998,い,岡山県,NA,NA,NA
1999,い,岡山県,NA,NA,NA
2000,い,岡山県,NA,NA,NA
2001,い,岡山県,NA,NA,NA
2002,い,岡山県,NA,NA,NA
2003,い,岡山県,NA,NA,NA
2004,い,岡山県,NA,NA,NA
2005,い,岡山県,NA,NA,NA
2006,い,岡山県,NA,NA,NA
2007,い,岡山県,NA,NA,NA
2008,い,岡山県,NA,NA,NA
2009,い,岡山県,NA,NA,NA
2010,い,岡山県,NA,NA,NA
2011,い,岡山県,NA,NA,NA
2012,い,岡山県,NA,NA,NA
1985,い,高知県,261,2780,2502
1986,い,高知県,237,2460,2214
1987,い,高知県,237,2460,2214
1988,い,高知県,248,2380,2142
1989,い,高知県,247,2450,2205
1990,い,高知県,235,2240,2016
1991,い,高知県,127,1080,972
1992,い,高知県,132,1580,1422
1993,い,高知県,103,1090,981
1994,い,高知県,NA,NA,NA
1995,い,高知県,NA,NA,NA
1996,い,高知県,NA,NA,NA
1997,い,高知県,NA,NA,NA
1998,い,高知県,NA,NA,NA
1999,い,高知県,NA,NA,NA
2000,い,高知県,NA,NA,NA
2001,い,高知県,NA,NA,NA
2002,い,高知県,NA,NA,NA
2003,い,高知県,NA,NA,NA
2004,い,高知県,NA,NA,NA
2005,い,高知県,NA,NA,NA
2006,い,高知県,NA,NA,NA
2007,い,高知県,NA,NA,NA
2008,い,高知県,NA,NA,NA
2009,い,高知県,NA,NA,NA
2010,い,高知県,NA,NA,NA
2011,い,高知県,NA,NA,NA
2012,い,高知県,NA,NA,NA
1985,い,福岡県,950,9580,8622
1986,い,福岡県,909,10300,9270
1987,い,福岡県,991,10800,9720
1988,い,福岡県,1140,11200,10080
1989,い,福岡県,1160,12100,10890
1990,い,福岡県,1170,12600,11340
1991,い,福岡県,814,7020,6318
1992,い,福岡県,742,8390,7551
1993,い,福岡県,684,6870,6183
1994,い,福岡県,570,5810,5229
1995,い,福岡県,556,6740,6066
1996,い,福岡県,452,5080,4572
1997,い,福岡県,410,4700,4230
1998,い,福岡県,274,2880,2592
1999,い,福岡県,191,2240,2016
2000,い,福岡県,134,1450,1305
2001,い,福岡県,88,1030,927
2002,い,福岡県,89,1020,918
2003,い,福岡県,89,882,793.8
2004,い,福岡県,77,872,784.8
2005,い,福岡県,65,893,803.7
2006,い,福岡県,46,549,494.1
2007,い,福岡県,31,383,344.7
2008,い,福岡県,26,331,297.9
2009,い,福岡県,23,311,279.9
2010,い,福岡県,17,198,178.2
2011,い,福岡県,13,153,137.7
2012,い,福岡県,14,176,158.4
2013,い,福岡県,17,223,200.7
2014,い,福岡県,14,189,170.1
2015,い,福岡県,14,165,148.5
2016,い,福岡県,12,142,127.8
2017,い,福岡県,10,123,110.7
2018,い,福岡県,7,83,74.7
2019,い,福岡県,5,62,55.8
2020,い,福岡県,4,44,39.6
2021,い,福岡県,3,33,29.7
1985,い,熊本県,5550,61400,55260
1986,い,熊本県,5650,61800,55620
1987,い,熊本県,5950,63900,57510
1988,い,熊本県,6390,65100,58590
1989,い,熊本県,6630,75800,68220
1990,い,熊本県,6580,70300,63270
1991,い,熊本県,5740,53900,48510
1992,い,熊本県,5580,64800,58320
1993,い,熊本県,5360,55500,49950
1994,い,熊本県,5140,56700,51030
1995,い,熊本県,5050,57800,52020
1996,い,熊本県,4760,53300,47970
1997,い,熊本県,4610,53000,47700
1998,い,熊本県,4150,44100,39690
1999,い,熊本県,3300,34100,30690
2000,い,熊本県,2590,27900,25110
2001,い,熊本県,1780,20300,18270
2002,い,熊本県,1720,19700,17730
2003,い,熊本県,1780,19600,17640
2004,い,熊本県,1720,19800,17820
2005,い,熊本県,1630,20900,18810
2006,い,熊本県,1330,14800,13320
2007,い,熊本県,1080,14800,13320
2008,い,熊本県,1050,13400,12060
2009,い,熊本県,980,14000,12600
2010,い,熊本県,882,11300,10170
2011,い,熊本県,825,9490,8541
2012,い,熊本県,840,10400,9360
2013,い,熊本県,801,11600,10440
2014,い,熊本県,725,9930,8937
2015,い,熊本県,687,7630,6867
2016,い,熊本県,631,8200,7380
2017,い,熊本県,568,8410,7569
2018,い,熊本県,534,7420,6678
2019,い,熊本県,471,7070,6363
2020,い,熊本県,420,6260,5634
2021,い,熊本県,448,6360,5724
1985,いんげん,北海道,20800,41000,36900
1986,いんげん,北海道,17900,37000,33300
1987,いんげん,北海道,18000,35000,31500
1988,いんげん,北海道,17500,32500,29250
1989,いんげん,北海道,21300,33500,30150
1990,いんげん,北海道,20300,30000,27000
1991,いんげん,北海道,17800,41300,37170
