年,品目,都道府県,作付面積・収穫面積（a）,出荷量（千本、千鉢、千球）
1985,花壇用苗もの類_サルビア,北海道,69,175
1986,花壇用苗もの類_サルビア,北海道,NA,NA
1987,花壇用苗もの類_サルビア,北海道,NA,NA
1988,花壇用苗もの類_サルビア,北海道,105,214
1989,花壇用苗もの類_サルビア,北海道,NA,NA
1990,花壇用苗もの類_サルビア,北海道,166,203
1991,花壇用苗もの類_サルビア,北海道,67,186
1992,花壇用苗もの類_サルビア,北海道,178,705
1993,花壇用苗もの類_サルビア,北海道,130,641
1994,花壇用苗もの類_サルビア,北海道,249,1680
1995,花壇用苗もの類_サルビア,北海道,339,1720
1996,花壇用苗もの類_サルビア,北海道,208,1060
1997,花壇用苗もの類_サルビア,北海道,202,1040
1998,花壇用苗もの類_サルビア,北海道,188,963
1999,花壇用苗もの類_サルビア,北海道,293,1360
2000,花壇用苗もの類_サルビア,北海道,240,1300
2001,花壇用苗もの類_サルビア,北海道,251,1320
2002,花壇用苗もの類_サルビア,北海道,293,1500
2003,花壇用苗もの類_サルビア,北海道,306,1270
2004,花壇用苗もの類_サルビア,北海道,272,1340
2005,花壇用苗もの類_サルビア,北海道,261,1350
2006,花壇用苗もの類_サルビア,北海道,213,1200
2007,花壇用苗もの類_サルビア,北海道,NA,NA
2008,花壇用苗もの類_サルビア,北海道,NA,NA
2009,花壇用苗もの類_サルビア,北海道,NA,NA
2010,花壇用苗もの類_サルビア,北海道,NA,NA
2011,花壇用苗もの類_サルビア,北海道,NA,NA
2012,花壇用苗もの類_サルビア,北海道,NA,NA
2013,花壇用苗もの類_サルビア,北海道,NA,NA
2014,花壇用苗もの類_サルビア,北海道,NA,NA
2015,花壇用苗もの類_サルビア,北海道,NA,NA
2016,花壇用苗もの類_サルビア,北海道,NA,NA
2017,花壇用苗もの類_サルビア,北海道,NA,NA
2018,花壇用苗もの類_サルビア,北海道,NA,NA
2019,花壇用苗もの類_サルビア,北海道,NA,NA
2020,花壇用苗もの類_サルビア,北海道,NA,NA
2021,花壇用苗もの類_サルビア,北海道,NA,NA
1985,花壇用苗もの類_サルビア,青森県,0,67
1986,花壇用苗もの類_サルビア,青森県,NA,NA
1987,花壇用苗もの類_サルビア,青森県,NA,NA
1988,花壇用苗もの類_サルビア,青森県,78,428
1989,花壇用苗もの類_サルビア,青森県,NA,NA
1990,花壇用苗もの類_サルビア,青森県,65,299
1991,花壇用苗もの類_サルビア,青森県,50,230
1992,花壇用苗もの類_サルビア,青森県,74,280
1993,花壇用苗もの類_サルビア,青森県,81,353
1994,花壇用苗もの類_サルビア,青森県,78,322
1995,花壇用苗もの類_サルビア,青森県,90,365
1996,花壇用苗もの類_サルビア,青森県,103,453
1997,花壇用苗もの類_サルビア,青森県,117,518
1998,花壇用苗もの類_サルビア,青森県,111,428
1999,花壇用苗もの類_サルビア,青森県,144,493
2000,花壇用苗もの類_サルビア,青森県,222,707
2001,花壇用苗もの類_サルビア,青森県,162,425
2002,花壇用苗もの類_サルビア,青森県,172,448
2003,花壇用苗もの類_サルビア,青森県,172,457
2004,花壇用苗もの類_サルビア,青森県,81,293
2005,花壇用苗もの類_サルビア,青森県,77,279
2006,花壇用苗もの類_サルビア,青森県,NA,NA
2007,花壇用苗もの類_サルビア,青森県,NA,NA
2008,花壇用苗もの類_サルビア,青森県,NA,NA
2009,花壇用苗もの類_サルビア,青森県,NA,NA
2010,花壇用苗もの類_サルビア,青森県,NA,NA
2011,花壇用苗もの類_サルビア,青森県,NA,NA
2012,花壇用苗もの類_サルビア,青森県,NA,NA
2013,花壇用苗もの類_サルビア,青森県,NA,NA
2014,花壇用苗もの類_サルビア,青森県,NA,NA
2015,花壇用苗もの類_サルビア,青森県,NA,NA
2016,花壇用苗もの類_サルビア,青森県,NA,NA
2017,花壇用苗もの類_サルビア,青森県,NA,NA
2018,花壇用苗もの類_サルビア,青森県,NA,NA
2019,花壇用苗もの類_サルビア,青森県,NA,NA
2020,花壇用苗もの類_サルビア,青森県,NA,NA
2021,花壇用苗もの類_サルビア,青森県,NA,NA
1985,花壇用苗もの類_サルビア,岩手県,21,106
1986,花壇用苗もの類_サルビア,岩手県,NA,NA
1987,花壇用苗もの類_サルビア,岩手県,NA,NA
1988,花壇用苗もの類_サルビア,岩手県,51,203
1989,花壇用苗もの類_サルビア,岩手県,NA,NA
1990,花壇用苗もの類_サルビア,岩手県,34,137
1991,花壇用苗もの類_サルビア,岩手県,43,172
1992,花壇用苗もの類_サルビア,岩手県,74,303
1993,花壇用苗もの類_サルビア,岩手県,133,451
1994,花壇用苗もの類_サルビア,岩手県,85,401
1995,花壇用苗もの類_サルビア,岩手県,73,299
1996,花壇用苗もの類_サルビア,岩手県,85,519
1997,花壇用苗もの類_サルビア,岩手県,98,464
1998,花壇用苗もの類_サルビア,岩手県,114,512
1999,花壇用苗もの類_サルビア,岩手県,139,646
2000,花壇用苗もの類_サルビア,岩手県,176,724
2001,花壇用苗もの類_サルビア,岩手県,111,504
2002,花壇用苗もの類_サルビア,岩手県,117,509
2003,花壇用苗もの類_サルビア,岩手県,110,543
2004,花壇用苗もの類_サルビア,岩手県,113,565
2005,花壇用苗もの類_サルビア,岩手県,93,513
2006,花壇用苗もの類_サルビア,岩手県,75,474
2007,花壇用苗もの類_サルビア,岩手県,NA,NA
2008,花壇用苗もの類_サルビア,岩手県,NA,NA
2009,花壇用苗もの類_サルビア,岩手県,NA,NA
2010,花壇用苗もの類_サルビア,岩手県,NA,NA
2011,花壇用苗もの類_サルビア,岩手県,NA,NA
2012,花壇用苗もの類_サルビア,岩手県,NA,NA
2013,花壇用苗もの類_サルビア,岩手県,NA,NA
2014,花壇用苗もの類_サルビア,岩手県,NA,NA
2015,花壇用苗もの類_サルビア,岩手県,NA,NA
2016,花壇用苗もの類_サルビア,岩手県,NA,NA
2017,花壇用苗もの類_サルビア,岩手県,NA,NA
2018,花壇用苗もの類_サルビア,岩手県,NA,NA
