年,品目,都道府県,栽培面積（ha）,生葉収穫量（t）,荒茶生産量（t）
1985,茶,岩手県,9,6,1
1986,茶,岩手県,9,6,1
1987,茶,岩手県,9,7,1
1988,茶,岩手県,8,8,2
1989,茶,岩手県,7,7,2
1990,茶,岩手県,7,7,1
1991,茶,岩手県,7,6,1
1992,茶,岩手県,7,4,1
1993,茶,岩手県,7,4,1
1994,茶,岩手県,7,NA,NA
1995,茶,岩手県,8,NA,NA
1996,茶,岩手県,8,4,1
1997,茶,岩手県,7,NA,NA
1998,茶,岩手県,6,NA,NA
1999,茶,岩手県,4,3,1
2000,茶,岩手県,4,NA,NA
2001,茶,岩手県,4,NA,NA
2002,茶,岩手県,4,2,0
2003,茶,岩手県,4,2,0
2004,茶,岩手県,4,2,0
2005,茶,岩手県,4,NA,NA
2006,茶,岩手県,4,NA,NA
2007,茶,岩手県,3,NA,NA
2008,茶,岩手県,3,NA,NA
2009,茶,岩手県,3,2,0
2010,茶,岩手県,3,NA,NA
2011,茶,岩手県,3,NA,NA
2012,茶,岩手県,3,NA,NA
2013,茶,岩手県,3,NA,NA
2014,茶,岩手県,3,NA,NA
2015,茶,岩手県,3,NA,NA
2016,茶,岩手県,2,NA,NA
2017,茶,岩手県,NA,NA,NA
2018,茶,岩手県,NA,NA,NA
2019,茶,岩手県,NA,NA,NA
2020,茶,岩手県,3,NA,NA
2021,茶,岩手県,NA,NA,NA
1985,茶,宮城県,29,66,13
1986,茶,宮城県,23,33,7
1987,茶,宮城県,22,38,8
1988,茶,宮城県,22,39,8
1989,茶,宮城県,21,41,9
1990,茶,宮城県,21,42,10
1991,茶,宮城県,21,41,9
1992,茶,宮城県,21,37,8
1993,茶,宮城県,21,33,7
1994,茶,宮城県,21,NA,NA
1995,茶,宮城県,21,NA,NA
1996,茶,宮城県,20,31,6
1997,茶,宮城県,19,NA,NA
1998,茶,宮城県,19,NA,NA
1999,茶,宮城県,19,30,6
2000,茶,宮城県,19,NA,NA
2001,茶,宮城県,17,NA,NA
2002,茶,宮城県,17,20,4
2003,茶,宮城県,16,21,4
2004,茶,宮城県,16,21,4
2005,茶,宮城県,17,NA,NA
2006,茶,宮城県,16,NA,NA
2007,茶,宮城県,14,NA,NA
2008,茶,宮城県,14,NA,NA
2009,茶,宮城県,14,25,5
2010,茶,宮城県,14,NA,NA
2011,茶,宮城県,14,NA,NA
2012,茶,宮城県,14,NA,NA
2013,茶,宮城県,14,NA,NA
2014,茶,宮城県,14,8,2
2015,茶,宮城県,14,NA,NA
2016,茶,宮城県,14,NA,NA
2017,茶,宮城県,NA,NA,NA
2018,茶,宮城県,NA,NA,NA
2019,茶,宮城県,NA,NA,NA
2020,茶,宮城県,14,6,1
2021,茶,宮城県,NA,NA,NA
1985,茶,茨城県,1300,2930,642
1986,茶,茨城県,1230,3050,673
1987,茶,茨城県,1160,2980,668
1988,茶,茨城県,1090,2760,618
1989,茶,茨城県,1050,2040,453
1990,茶,茨城県,1020,2320,504
1991,茶,茨城県,997,1660,364
1992,茶,茨城県,962,2120,465
1993,茶,茨城県,943,2150,477
1994,茶,茨城県,930,NA,NA
1995,茶,茨城県,907,NA,NA
1996,茶,茨城県,870,1830,404
1997,茶,茨城県,812,NA,NA
1998,茶,茨城県,776,NA,NA
1999,茶,茨城県,741,1890,422
2000,茶,茨城県,720,NA,NA
2001,茶,茨城県,685,NA,NA
2002,茶,茨城県,668,1700,383
2003,茶,茨城県,627,1760,406
2004,茶,茨城県,605,1730,406
2005,茶,茨城県,590,1760,410
2006,茶,茨城県,569,1290,283
2007,茶,茨城県,543,1510,334
2008,茶,茨城県,523,1560,349
2009,茶,茨城県,510,1430,327
2010,茶,茨城県,480,1370,308
2011,茶,茨城県,450,149,13
2012,茶,茨城県,399,893,197
2013,茶,茨城県,396,975,222
2014,茶,茨城県,376,1170,272
2015,茶,茨城県,358,NA,NA
2016,茶,茨城県,353,NA,NA
2017,茶,茨城県,NA,NA,NA
2018,茶,茨城県,NA,NA,NA
2019,茶,茨城県,NA,NA,NA
2020,茶,茨城県,347,1120,260
2021,茶,茨城県,NA,NA,NA
1985,茶,栃木県,258,315,47
1986,茶,栃木県,257,297,46
1987,茶,栃木県,255,270,54
1988,茶,栃木県,253,246,39
1989,茶,栃木県,248,173,28
1990,茶,栃木県,238,184,37
1991,茶,栃木県,224,110,16
1992,茶,栃木県,195,129,18
1993,茶,栃木県,179,115,17
1994,茶,栃木県,161,NA,NA
1995,茶,栃木県,156,NA,NA
1996,茶,栃木県,131,89,16
1997,茶,栃木県,118,NA,NA
1998,茶,栃木県,117,NA,NA
1999,茶,栃木県,98,65,11
2000,茶,栃木県,97,NA,NA
2001,茶,栃木県,95,NA,NA
2002,茶,栃木県,95,72,13
2003,茶,栃木県,88,70,12
2004,茶,栃木県,87,70,12
2005,茶,栃木県,78,NA,NA
2006,茶,栃木県,78,NA,NA
2007,茶,栃木県,78,NA,NA
2008,茶,栃木県,78,NA,NA
2009,茶,栃木県,78,55,14
2010,茶,栃木県,69,NA,NA
2011,茶,栃木県,69,NA,NA
2012,茶,栃木県,69,NA,NA
2013,茶,栃木県,69,NA,NA
2014,茶,栃木県,68,28,7
2015,茶,栃木県,66,NA,NA
2016,茶,栃木県,66,NA,NA
2017,茶,栃木県,NA,NA,NA
2018,茶,栃木県,NA,NA,NA
2019,茶,栃木県,NA,NA,NA
2020,茶,栃木県,20,20,5
2021,茶,栃木県,NA,NA,NA
1985,茶,群馬県,144,214,43
1986,茶,群馬県,140,167,33
1987,茶,群馬県,138,159,32
1988,茶,群馬県,138,184,36
1989,茶,群馬県,138,158,32
1990,茶,群馬県,124,149,30
1991,茶,群馬県,113,121,24
1992,茶,群馬県,103,106,21
1993,茶,群馬県,97,78,15
1994,茶,群馬県,97,NA,NA
1995,茶,群馬県,97,NA,NA
1996,茶,群馬県,75,66,13
1997,茶,群馬県,74,NA,NA
1998,茶,群馬県,74,NA,NA
1999,茶,群馬県,68,68,15
