分類1,分類2,品目,単位量,単位,年,単位量あたりの販売価格（円）,1単位あたりの販売価格（円/kg、本、球、鉢、枚）
穀類,米,うるち玄米,60,kg,1985,21710,361.8333333
穀類,米,うるち玄米,60,kg,1986,21420,357
穀類,米,うるち玄米,60,kg,1987,20870,347.8333333
穀類,米,うるち玄米,60,kg,1988,20740,345.6666667
穀類,米,うるち玄米,60,kg,1989,21150,352.5
穀類,米,うるち玄米,60,kg,1990,20320,338.6666667
穀類,米,うるち玄米,60,kg,1991,20740,345.6666667
穀類,米,うるち玄米,60,kg,1992,21170,352.8333333
穀類,米,うるち玄米,60,kg,1993,22420,373.6666667
穀類,米,うるち玄米,60,kg,1994,20470,341.1666667
穀類,米,うるち玄米,60,kg,1995,18900,315
穀類,米,うるち玄米,60,kg,1996,18570,309.5
穀類,米,うるち玄米,60,kg,1997,16360,272.6666667
穀類,米,うるち玄米,60,kg,1998,17050,284.1666667
穀類,米,うるち玄米,60,kg,1999,15430,257.1666667
穀類,米,うるち玄米,60,kg,2000,14430,240.5
穀類,米,うるち玄米,60,kg,2001,14370,239.5
穀類,米,うるち玄米,60,kg,2002,14210,236.8333333
穀類,米,うるち玄米,60,kg,2003,16690,278.1666667
穀類,米,うるち玄米,60,kg,2004,14870,247.8333333
穀類,米,うるち玄米,60,kg,2005,13310,221.8333333
穀類,米,うるち玄米,60,kg,2006,13010,216.8333333
穀類,米,うるち玄米,60,kg,2007,12790,213.1666667
穀類,米,うるち玄米,60,kg,2008,12690,211.5
穀類,米,うるち玄米,60,kg,2009,13170,219.5
穀類,米,うるち玄米,60,kg,2010,12580,209.6666667
穀類,米,うるち玄米,60,kg,2011,11660,194.3333333
穀類,米,うるち玄米,60,kg,2012,13750,229.1666667
穀類,米,うるち玄米,60,kg,2013,13980,233
穀類,米,うるち玄米,60,kg,2014,12160,202.6666667
穀類,米,うるち玄米,60,kg,2015,10860,181
穀類,米,うるち玄米,60,kg,2016,12300,205
穀類,米,うるち玄米,60,kg,2017,13560,226
穀類,米,うるち玄米,60,kg,2018,14470,241.1666667
穀類,米,うるち玄米,60,kg,2019,14520,242
穀類,米,うるち玄米,60,kg,2020,14260,237.6666667
穀類,米,うるち玄米,60,kg,2021,12240,204
穀類,米,もち玄米(自主流通米）,60,kg,1985,21340,355.6666667
穀類,米,もち玄米(自主流通米）,60,kg,1986,21300,355
穀類,米,もち玄米(自主流通米）,60,kg,1987,20440,340.6666667
穀類,米,もち玄米(自主流通米）,60,kg,1988,20030,333.8333333
穀類,米,もち玄米(自主流通米）,60,kg,1989,19850,330.8333333
穀類,米,もち玄米(自主流通米）,60,kg,1990,19470,324.5
穀類,米,もち玄米(自主流通米）,60,kg,1991,20760,346
穀類,米,もち玄米(自主流通米）,60,kg,1992,22750,379.1666667
穀類,米,もち玄米(自主流通米）,60,kg,1993,25090,418.1666667
穀類,米,もち玄米(自主流通米）,60,kg,1994,19550,325.8333333
穀類,米,もち玄米(自主流通米）,60,kg,1995,17370,289.5
穀類,米,もち玄米(自主流通米）,60,kg,1996,18310,305.1666667
穀類,米,もち玄米(自主流通米）,60,kg,1997,19660,327.6666667
穀類,米,もち玄米(自主流通米）,60,kg,1998,18320,305.3333333
穀類,米,もち玄米(自主流通米）,60,kg,1999,17410,290.1666667
穀類,米,うるち白米,10,kg,1985,4044,404.4
穀類,米,うるち白米,10,kg,1986,4025,402.5
穀類,米,うるち白米,10,kg,1987,3973,397.3
穀類,米,うるち白米,10,kg,1988,3985,398.5
穀類,米,うるち白米,10,kg,1989,4018,401.8
穀類,米,うるち白米,10,kg,1990,3956,395.6
穀類,米,うるち白米,10,kg,1991,3974,397.4
穀類,米,うるち白米,10,kg,1992,4208,420.8
穀類,米,うるち白米,10,kg,1993,4921,492.1
穀類,米,うるち白米,10,kg,1994,4446,444.6
穀類,米,うるち白米,10,kg,1995,3998,399.8
穀類,米,うるち白米,10,kg,1996,3938,393.8
穀類,米,うるち白米,10,kg,1997,3675,367.5
穀類,米,うるち白米,10,kg,1998,3678,367.8
穀類,米,うるち白米,10,kg,1999,3546,354.6
穀類,米,うるち白米,10,kg,2000,3191,319.1
穀類,米,うるち白米,10,kg,2001,3205,320.5
穀類,米,うるち白米,10,kg,2002,3117,311.7
穀類,米,うるち白米,10,kg,2003,3632,363.2
穀類,米,うるち白米,10,kg,2004,3311,331.1
穀類,米,うるち白米,10,kg,2005,3116,311.6
穀類,米,うるち白米,10,kg,2006,3172,317.2
穀類,米,うるち白米,10,kg,2007,3022,302.2
穀類,米,うるち白米,10,kg,2008,3114,311.4
穀類,米,うるち白米,10,kg,2009,3091,309.1
穀類,米,うるち白米,10,kg,2010,3217,321.7
穀類,米,うるち白米,10,kg,2011,3214,321.4
穀類,米,うるち白米,10,kg,2012,3483,348.3
穀類,米,うるち白米,10,kg,2013,3448,344.8
穀類,米,うるち白米,10,kg,2014,3152,315.2
穀類,米,うるち白米,10,kg,2015,3170,317
穀類,米,うるち白米,10,kg,2016,3341,334.1
穀類,米,うるち白米,10,kg,2017,3495,349.5
穀類,米,うるち白米,10,kg,2018,3518,351.8
穀類,米,うるち白米,10,kg,2019,3560,356
穀類,米,うるち白米,10,kg,2020,3540,354
穀類,米,うるち白米,10,kg,2021,3333,333.3
穀類,米,もち白米(計画外流通米),10,kg,1985,4902,490.2
穀類,米,もち白米(計画外流通米),10,kg,1986,4862,486.2
穀類,米,もち白米(計画外流通米),10,kg,1987,4783,478.3
穀類,米,もち白米(計画外流通米),10,kg,1988,4783,478.3
穀類,米,もち白米(計画外流通米),10,kg,1989,4795,479.5
穀類,米,もち白米(計画外流通米),10,kg,1990,4636,463.6
穀類,米,もち白米(計画外流通米),10,kg,1991,4814,481.4
穀類,米,もち白米(計画外流通米),10,kg,1992,5530,553
穀類,米,もち白米(計画外流通米),10,kg,1993,6959,695.9
穀類,米,もち白米(計画外流通米),10,kg,1994,4826,482.6
穀類,米,もち白米(計画外流通米),10,kg,1995,4145,414.5
穀類,米,もち白米(計画外流通米),10,kg,1996,4213,421.3
穀類,米,もち白米(計画外流通米),10,kg,1997,4298,429.8
穀類,米,もち白米(計画外流通米),10,kg,1998,4264,426.4
穀類,米,もち白米(計画外流通米),10,kg,1999,4022,402.2
穀類,麦,小麦,60,kg,1985,11531,192.1833333
穀類,麦,小麦,60,kg,1986,11402,190.0333333
穀類,麦,小麦,60,kg,1987,10903,181.7166667
穀類,麦,小麦,60,kg,1988,10506,175.1
穀類,麦,小麦,60,kg,1989,10172,169.5333333
穀類,麦,小麦,60,kg,1990,9704,161.7333333
穀類,麦,小麦,60,kg,1991,9626,160.4333333
穀類,麦,小麦,60,kg,1992,9711,161.85
穀類,麦,小麦,60,kg,1993,9910,165.1666667
穀類,麦,小麦,60,kg,1994,9893,164.8833333
穀類,麦,小麦,60,kg,1995,10170,169.5
穀類,麦,小麦,60,kg,1996,10180,169.6666667
穀類,麦,小麦,60,kg,1997,10090,168.1666667
穀類,麦,小麦,60,kg,1998,10170,169.5
穀類,麦,小麦,60,kg,1999,10060,167.6666667
穀類,麦,小麦,60,kg,2000,10040,167.3333333
穀類,麦,小麦,60,kg,2001,9922,165.3666667
穀類,麦,小麦,60,kg,2002,9759,162.65
穀類,麦,小麦,60,kg,2003,9461,157.6833333
穀類,麦,小麦,60,kg,2004,8876,147.9333333
穀類,麦,小麦,60,kg,2005,8959,149.3166667
穀類,麦,小麦,60,kg,2006,9210,153.5
穀類,麦,小麦,60,kg,2007,4763,79.38333333
穀類,麦,小麦,60,kg,2008,4849,80.81666667
穀類,麦,小麦,60,kg,2009,5302,88.36666667
穀類,麦,小麦,60,kg,2010,4359,72.65
穀類,麦,小麦,60,kg,2011,3033,50.55
穀類,麦,小麦,60,kg,2012,2123,35.38333333
穀類,麦,小麦,60,kg,2013,1900,31.66666667
穀類,麦,小麦,60,kg,2014,1866,31.1
穀類,麦,小麦,60,kg,2015,2027,33.78333333
穀類,麦,小麦,60,kg,2016,1578,26.3
穀類,麦,小麦,60,kg,2017,1927,32.11666667
穀類,麦,小麦,60,kg,2018,2513,41.88333333
